Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	213	16079238	yplQ	BSU21790	-	COG1272R	membrane hydrolase	2295302	2295943	OF624
-	206	255767477	ypkP	BSU21800	-	-	acyltransferase	2295982	2296602	OR1
-	168	16079240	dfrA	BSU21810	-	COG0262H	dihydrofolate reductase	2296603	2297109	OR1
-	264	16079241	thyA	BSU21820	-	COG0207F	thymidylate synthase	2297106	2297900	OR1
-	177	16079242	ypjQ	BSU21830	-	COG1267I	phosphatidylglycerophosphatase	2297984	2298517	OR1
-	203	16079243	ypjP	BSU21840	-	-	hypothetical protein	2298535	2299146	OR1
-	257	255767478	ypiP	BSU21850	-	COG2521R	methyltransferase	2299406	2300179	OR1
-	144	16079245	yphP	BSU21860	-	-	hypothetical protein	2300221	2300655	OR1
-	558	255767479	ilvD	BSU21870	-	COG0129EG	dihydroxy-acid dehydratase	2300762	2302438	OR1
-	377	16079247	ypgR	BSU21880	-	COG1413C	lyase	2302727	2303860	OR1
-	205	16079248	ypgQ	BSU21890	-	COG1418R	metal-dependent phosphohydrolase	2303920	2304537	OR1
-	160	16079249	bsaA	BSU21900	-	COG0386O	peroxidase	2304553	2305035	OR1
+	301	255767480	metA	BSU21910	-	COG1897E	homoserine O-succinyltransferase	2305378	2306283	OF624
+	382	16079251	ugtP	BSU21920	-	COG0707M	diacylglycerol glucosyltransferase	2306514	2307662	OF625
+	66	16079252	cspD	BSU21930	-	COG1278K	cold-shock protein	2307905	2308105	OF626
-	60	16079253	degR	BSU21940	-	-	activation of degradative enzymes (aprE, nprE, sacB) production or activity	2308157	2308339	OR1
+	89	16079254	ypzA	BSU21950	-	-	hypothetical protein	2308495	2308764	OF627
-	60	16079255	ypeQ	BSU21960	-	-	hypothetical protein	2308792	2308974	OR1
-	226	161511070	ypeP	BSU21970	-	COG0328L	hypothetical protein	2308967	2309647	OR1
+	229	16079257	ypdP	BSU21980	-	COG1738S	hypothetical protein	2309730	2310419	OF628
+	132	16079258	ypdQ	BSU21990	-	COG0328L	hypothetical protein	2310419	2310817	OF628
+	42	50812255	sspL	BSU22000	-	-	small acid-soluble spore protein	2310859	2310987	OF628
-	296	16079259	exoA	BSU22010	-	COG0258L	5'-3' exonuclease	2310995	2311885	OR1
-	48	255767481	ypzF	BSU22019	-	-	hypothetical protein	2311986	2312132	OR1
-	85	16079260	ypbS	BSU22020	-	-	hypothetical protein	2312207	2312464	OR1
-	1193	16079261	ypbR	BSU22030	-	COG1159R	GTP-binding protein	2312529	2316110	OR1
-	168	16079262	ypbQ	BSU22040	-	COG1755S	hypothetical protein	2316446	2316952	OR1
-	365	16079263	bcsA	BSU22050	-	COG3424Q	terpene family molecule synthase	2316956	2318053	OR1
-	438	16079264	pbuX	BSU22060	-	COG2233F	xanthine permease	2318127	2319443	OR1
-	194	16079265	xpt	BSU22070	-	COG0503F	xanthine phosphoribosyltransferase	2319440	2320024	OR1
-	501	16079266	ypwA	BSU22080	-	COG2317E	metal-dependent carboxypeptidase	2320355	2321860	OR1
-	330	16079267	kdgT	BSU22090	-	-	2-keto-3-deoxygluconate permease	2321972	2322964	OR1
-	196	16079268	kdgA	BSU22100	-	COG0800G	2-keto-3-deoxygluconate-6-phosphate aldolase	2323009	2323599	OR1
-	324	16079269	kdgK	BSU22110	-	COG0524G	2-keto-3-deoxygluconate kinase	2323601	2324575	OR1
-	339	16079270	kdgR	BSU22120	-	COG1609K	Kdg operon transcriptional regulator	2324613	2325632	OR1
+	275	16079271	kduI	BSU22130	-	COG3717G	5-keto-4-deoxyuronate isomerase	2325854	2326681	OF628
+	254	16079272	kduD	BSU22140	-	COG1028IQR	2-deoxy-D-gluconate 3-dehydrogenase	2326683	2327447	OF628
-	641	16079273	ypvA	BSU22150	-	COG1199KL	ATP-dependent helicase	2327488	2329413	OR1
-	63	16079274	yptA	BSU22160	-	-	hypothetical protein	2329515	2329706	OR1
+	50	255767482	ypzG	BSU22169	-	-	hypothetical protein	2329870	2330022	OF628
-	385	16079275	ypsC	BSU22170	-	COG0116L	methylase with RNA interaction domain	2330075	2331232	OR1
-	98	16079276	ypsB	BSU22180	-	COG3599D	cell division protein GpsB	2331779	2332075	OR1
-	209	255767483	ypsA	BSU22190	-	COG4474S	hypothetical protein	2332153	2332782	OR1
-	75	16079278	cotD	BSU22200	-	-	spore coat protein	2332784	2333011	OR1
-	413	16079279	yprB	BSU22210	-	COG3359L	nucleic acid-binding protein	2333324	2334565	OR1
-	749	16079280	yprA	BSU22220	-	COG1205R	ATP-dependent helicase	2334581	2336830	OR1
-	168	16079281	ypqE	BSU22230	-	COG2190G	PTS system transporter subunit IIA	2336933	2337439	OR1
+	139	16079282	ypqA	BSU22240	-	COG0071O	hypothetical protein	2337577	2337996	OF629
-	125	16079283	yppG	BSU22250	-	-	hypothetical protein	2338017	2338394	OR1
+	62	16079284	yppF	BSU22260	-	-	site-specific integrase	2338582	2338770	OF630
-	123	16079285	yppE	BSU22270	-	-	hypothetical protein	2338809	2339180	OR1
-	81	16079286	yppD	BSU22280	-	-	hypothetical protein	2339226	2339471	OR1
+	34	50812256	sspM	BSU22290	-	-	small acid-soluble spore protein	2339670	2339774	OF631
-	320	16079287	yppC	BSU22300	-	-	hypothetical protein	2339799	2340761	OR1
+	206	16079288	recU	BSU22310	-	COG3331R	Holliday junction-specific endonuclease	2340802	2341422	OF632
+	914	16079289	ponA	BSU22320	-	COG0744M	peptidoglycan glycosyltransferase	2341444	2344188	OF632
-	164	16079290	ypoC	BSU22330	-	-	hypothetical protein	2344264	2344758	OR1
-	219	16079291	nth	BSU22340	-	COG0177L	endonuclease III	2344755	2345414	OR1
-	232	16079292	dnaD	BSU22350	-	COG3935L	DNA-remodelling primosomal protein	2345433	2346131	OR1
-	430	16079293	asnC	BSU22360	-	COG0017J	asparaginyl-tRNA synthetase	2346224	2347516	OR1
-	393	16079294	aspB	BSU22370	-	COG0436E	aspartate aminotransferase	2347660	2348841	OR1
-	161	16079295	ypmB	BSU22380	-	COG5353S	hypothetical protein	2348864	2349349	OR1
-	56	16079296	ypmA	BSU22390	-	-	hypothetical protein	2349358	2349528	OR1
-	931	16079297	dinG	BSU22400	-	COG1199KL	bifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilon	2349671	2352466	OR1
-	127	16079298	panD	BSU22410	-	COG0853H	aspartate alpha-decarboxylase	2352592	2352975	OR1
-	286	16079299	panC	BSU22420	-	COG0414H	pantoate--beta-alanine ligase	2352977	2353837	OR1
-	277	16079300	panB	BSU22430	-	COG0413H	3-methyl-2-oxobutanoate hydroxymethyltransferase	2353839	2354672	OR1
-	325	16079301	birA	BSU22440	-	COG0340H	biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor	2354918	2355895	OR1
-	397	16079302	cca	BSU22450	-	COG0617J	tRNA CCA-pyrophosphorylase	2355880	2357073	OR1
-	377	16079303	ypjH	BSU22460	-	COG0438M	hypothetical protein	2357078	2358211	OR1
-	236	255767484	ypjG	BSU22470	-	COG2120S	hypothetical protein	2358208	2358918	OR1
-	137	16079305	mgsA	BSU22480	-	COG1803G	methylglyoxal synthase	2358911	2359324	OR1
-	267	16079306	dapB	BSU22490	-	COG0289E	dihydrodipicolinate reductase	2359340	2360143	OR1
-	111	16079307	ypjD	BSU22500	-	COG1694R	nucleotide phosphohydrolase	2360155	2360490	OR1
+	290	255767485	ypjC	BSU22510	-	COG1284S	hypothetical protein	2360630	2361502	OF632
-	264	16079309	ypjB	BSU22520	-	-	spore formation membrane associated protein	2361544	2362338	OR1
-	185	16079310	ypjA	BSU22530	-	COG4347S	hypothetical protein	2362407	2362964	OR1
-	255	16079311	qcrC	BSU22540	-	COG1290C	menaquinol:cytochrome c oxidoreductase cytochrome cc subunit	2363111	2363878	OR1
-	224	16079312	qcrB	BSU22550	-	COG1290C	cytochrome b6	2363913	2364587	OR1
-	167	16079313	qcrA	BSU22560	-	COG0723C	menaquinol:cytochrome c oxidoreductase iron-sulfur subunit	2364589	2365092	OR1
-	148	16079314	ypiF	BSU22570	-	-	hypothetical protein	2365235	2365681	OR1
-	179	16079315	ypiB	BSU22580	-	COG5582S	hypothetical protein	2365736	2366275	OR1
-	423	16079316	ypiA	BSU22590	-	COG3071H	hypothetical protein	2366347	2367618	OR1
-	428	16079317	aroE	BSU22600	-	COG0128E	3-phosphoshikimate 1-carboxyvinyltransferase	2367954	2369240	OR1
-	371	16079318	tyrA	BSU22610	-	COG0287E	prephenate dehydrogenase	2369251	2370366	OR1
-	360	255767486	hisC	BSU22620	-	COG0079E	histidinol-phosphate aminotransferase	2370415	2371497	OR1
-	267	16079320	trpA	BSU22630	-	COG0159E	tryptophan synthase subunit alpha	2371508	2372311	OR1
-	400	50812257	trpB	BSU22640	-	COG0133E	tryptophan synthase subunit beta	2372304	2373506	OR1
-	215	255767487	trpF	BSU22650	-	COG0135E	N-(5'-phosphoribosyl)anthranilate isomerase	2373487	2374134	OR1
-	249	255767488	trpC	BSU22660	-	COG0134E	indole-3-glycerol phosphate synthase	2374139	2374888	OR1
-	338	50812260	trpD	BSU22670	-	COG0547E	anthranilate phosphoribosyltransferase	2374881	2375897	OR1
-	515	16079325	trpE	BSU22680	-	COG0147EH	anthranilate synthase component I	2375869	2377416	OR1
-	127	16079326	aroH	BSU22690	-	COG4401E	chorismate mutase	2377632	2378015	OR1
-	362	16079327	aroB	BSU22700	-	COG0337E	3-dehydroquinate synthase	2378012	2379100	OR1
-	390	255767489	aroF	BSU22710	-	COG0082E	chorismate synthase	2379100	2380272	OR1
-	256	50812262	cheR	BSU22720	-	COG1352NT	methyl-accepting chemotaxis protein	2380347	2381117	OR1
-	149	16079330	ndk	BSU22730	-	COG0105F	nucleoside diphosphate kinase	2381354	2381803	OR1
-	348	16079331	hepT	BSU22740	-	COG0142H	heptaprenyl diphosphate synthase component II	2381919	2382965	OR1
-	233	16079332	ubiE	BSU22750	-	COG2226H	ubiquinone/menaquinone biosynthesis methyltransferase	2382907	2383608	OR1
-	251	16079333	hepS	BSU22760	-	-	heptaprenyl diphosphate synthase component I	2383615	2384370	OR1
-	75	16079334	mtrB	BSU22770	-	-	transcription attenuation protein MtrB	2384534	2384761	OR1
-	190	16079335	folE	BSU22780	-	COG0302H	GTP cyclohydrolase I	2384783	2385355	OR1
-	92	16079336	hbs	BSU22790	-	COG0776L	non-specific DNA-binding protein HBsu; signal recognition particle-like (SRP) component	2385543	2385821	OR1
-	492	16079337	spoIVA	BSU22800	-	-	morphogenetic stage IV sporulation protein	2386195	2387673	OR1
-	244	16079338	yphF	BSU22810	-	-	lipoprotein	2387854	2388588	OR1
-	67	16079339	yphE	BSU22820	-	-	hypothetical protein	2388610	2388813	OR1
-	345	16079340	gpsA	BSU22830	-	COG0240C	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2389151	2390188	OR1
-	436	16079341	engA	BSU22840	-	COG1160R	GTP-binding protein EngA	2390206	2391516	OR1
-	64	255767490	ypzH	BSU22849	-	-	hypothetical protein	2391670	2391864	OR1
-	297	16079342	seaA	BSU22850	-	-	hypothetical protein	2391861	2392754	OR1
-	199	16079343	yphA	BSU22860	-	-	hypothetical protein	2392751	2393350	OR1
+	45	255767491	ypzI	BSU22869	-	-	hypothetical protein	2393422	2393559	OF633
-	349	255767492	fni	BSU22870	-	COG1304C	isopentenyl pyrophosphate isomerase	2393602	2394651	OR1
-	382	16079345	rpsA	BSU22880	-	COG0539J	30S ribosomal protein S1	2394664	2395812	OR1
-	224	16079346	cmk	BSU22890	-	COG0283F	cytidylate kinase	2396045	2396719	OR1
-	58	16079347	ypfB	BSU22900	-	-	hypothetical protein	2396798	2396974	OR1
-	217	16079348	ypfA	BSU22910	-	COG5581M	cyclic diGMP binding protein	2397019	2397672	OR1
-	450	16079349	ypeB	BSU22920	-	-	spore membrane component	2397765	2399117	OR1
-	305	16079350	sleB	BSU22930	-	COG3773M	spore cortex-lytic protein	2399152	2400069	OR1
-	218	16079351	prsW	BSU22940	-	COG2339S	protease required for RsiW anti-sigma(W) degradation	2400208	2400864	OR1
-	324	255767493	ypdA	BSU22950	-	COG0492O	FAD-dependent disulfide oxidoreductase	2400984	2401958	OR1
-	427	255767494	gudB	BSU22960	-	COG0334E	cryptic glutamate dehydrogenase	2402067	2403350	OR1
-	194	16079354	ypbH	BSU22970	-	COG4862OTN	adaptor protein	2403506	2404090	OR1
-	259	16079355	ypbG	BSU22980	-	COG1408R	phosphoesterase	2404249	2405028	OR1
-	147	16079356	ypbF	BSU22990	-	-	hypothetical protein	2405114	2405557	OR1
-	240	16079357	ypbE	BSU23000	-	-	hypothetical protein	2405620	2406342	OR1
-	189	16079358	ypbD	BSU23010	-	COG1266R	membrane protease	2406293	2406862	OR1
-	496	16079359	recQ	BSU23020	-	COG0514L	ATP-dependent DNA helicase	2406922	2408412	OR1
-	352	16079360	ypbB	BSU23030	-	COG4955S	hypothetical protein	2408405	2409463	OR1
+	82	16079361	fer	BSU23040	-	COG1141C	ferredoxin	2409729	2409977	OF634
-	190	16079362	fmnP	BSU23050	-	COG3601S	FMN permease	2410017	2410589	OR1
-	54	16079363	ypzE	BSU23060	-	-	hypothetical protein	2410695	2410859	OR1
+	525	255767495	serA	BSU23070	-	COG0111HE	D-3-phosphoglycerate dehydrogenase	2411086	2412663	OF635
-	255	16079365	aroD	BSU23080	-	COG0710E	3-dehydroquinate dehydratase	2412706	2413473	OR1
-	368	255767496	rsiX	BSU23090	-	-	negative regulator of sigma(X) activity	2413585	2414691	OR1
-	194	255767497	sigX	BSU23100	-	COG1595K	RNA polymerase sigma factor SigX	2414627	2415211	OR1
-	589	16079368	resE	BSU23110	-	COG5002T	two-component sensor histidine kinase	2415415	2417184	OR1
-	240	255767498	resD	BSU23120	-	COG0745TK	two-component response regulator	2417181	2417903	OR1
-	391	255767499	resC	BSU23130	-	COG0755O	factor required for cytochrome c synthesis	2417984	2419159	OR1
-	542	16079371	resB	BSU23140	-	COG1333O	factor required for cytochrome c synthesis	2419179	2420807	OR1
-	179	255767500	resA	BSU23150	-	COG1225O	thiol-disulfide oxidoreductase	2420804	2421343	OR1
-	244	255767501	rluB	BSU23160	-	COG1187J	pseudouridine synthase	2421438	2422172	OR1
-	178	255767502	spmB	BSU23170	-	COG0700S	spore maturation protein	2422264	2422800	OR1
-	196	16079375	spmA	BSU23180	-	COG2715R	spore maturation protein	2422805	2423395	OR1
-	382	16079376	dacB	BSU23190	-	COG1686M	D-alanyl-D-alanine carboxypeptidase	2423383	2424531	OR1
-	179	16079377	ypuI	BSU23200	-	-	hypothetical protein	2424654	2425193	OR1
-	197	16079378	spcB	BSU23210	-	COG1386K	chromosome condensation and segregation factor	2425248	2425841	OR1
-	251	16079379	scpA	BSU23220	-	COG1354S	segregation and condensation protein A	2425831	2426586	OR1
+	174	16079380	ypuF	BSU23230	-	COG1547S	hypothetical protein	2426867	2427391	OF636
-	124	16079381	ypzK	BSU23240	-	COG0456R	acetyltransferase	2427405	2427779	OR1
-	154	16079382	ribH	BSU23250	-	COG0054H	6,7-dimethyl-8-ribityllumazine synthase	2427892	2428356	OR1
-	398	16079383	ribA	BSU23260	-	COG0108H	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein	2428389	2429585	OR1
-	215	16079384	ribE	BSU23270	-	COG0307H	riboflavin synthase subunit alpha	2429600	2430247	OR1
-	361	16079385	ribD	BSU23280	-	COG1985H	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino) uracil reductase	2430258	2431343	OR1
-	114	16079387	ypuD	BSU23300	-	-	hypothetical protein	2431737	2432081	OR1
-	184	16079388	sipS	BSU23310	-	COG0681U	type I signal peptidase	2432316	2432870	OR1
+	78	16079389	ypzC	BSU23320	-	-	hypothetical protein	2433137	2433373	OF637
-	68	255767503	ypzJ	BSU23328	-	COG3478R	hypothetical protein	2433316	2433522	OR1
-	67	16079391	ypuB	BSU23340	-	-	hypothetical protein	2434143	2434346	OR1
+	70	16079392	ypzD	BSU23350	-	-	hypothetical protein	2435012	2435224	OF638
-	143	16079393	ppiB	BSU23360	-	COG0652O	peptidyl-prolyl isomerase	2435360	2435791	OR1
+	290	16079394	ypuA	BSU23370	-	COG4086S	hypothetical protein	2436045	2436917	OF639
-	439	16079395	lysA	BSU23380	-	COG0019E	diaminopimelate decarboxylase	2436947	2438266	OR1
-	493	255767504	spoVAF	BSU23390	-	COG4713S	stage V sporulation protein AF	2438372	2439853	OR1
-	203	255767505	spoVAEA	BSU23401	-	-	stage V sporulation germinant protein	2439804	2440415	OR1
-	116	255767506	spoVAEB	BSU23402	-	-	spore germinant protein	2440423	2440773	OR1
-	338	16079398	spoVAD	BSU23410	-	COG0332I	stage V sporulation protein AD	2440775	2441791	OR1
-	150	16079399	spoVAC	BSU23420	-	-	stage V sporulation protein AC	2441804	2442256	OR1
-	141	16079400	spoVAB	BSU23430	-	-	stage V sporulation protein AB	2442269	2442694	OR1
-	206	255767507	spoVAA	BSU23440	-	-	stage V sporulation protein AA	2442684	2443304	OR1
-	255	16079402	sigF	BSU23450	-	COG1191K	sporulation sigma factor SigF	2443429	2444196	OR1
-	146	16079403	spoIIAB	BSU23460	-	COG2172T	anti-sigma F factor	2444208	2444648	OR1
-	117	16079404	spoIIAA	BSU23470	-	COG1366T	anti-anti-sigma factor	2444645	2444998	OR1
-	389	16079405	dacF	BSU23480	-	COG1686M	D-alanyl-D-alanine carboxypeptidase	2445094	2446263	OR1
-	271	16079406	pupG	BSU23490	-	COG0005F	purine nucleoside phosphorylase	2446418	2447233	OR1
-	394	255767508	drm	BSU23500	-	COG1015G	phosphopentomutase	2447246	2448430	OR1
-	296	255767509	xerD	BSU23510	-	COG4974L	site-specific tyrosine recombinase XerD	2448591	2449481	OR1
-	75	255767510	yqzK	BSU23519	-	-	hypothetical protein	2449489	2449716	OR1
-	149	255767511	fur	BSU23520	-	COG0735P	transcriptional regulator	2449841	2450290	OR1
-	214	16079410	spoIIM	BSU23530	-	COG1300S	stage II sporulation autolysin	2450403	2451047	OR1
-	71	16079411	yqkK	BSU23540	-	-	hypothetical protein	2451148	2451363	OR1
-	439	16079412	mleA	BSU23550	-	COG0281C	NAD-dependent malic enzyme	2451463	2452782	OR1
-	468	16079413	mleN	BSU23560	-	COG1757C	malate-H+/Na+-lactate antiporter	2452800	2454206	OR1
-	475	255767512	aspA	BSU23570	-	COG1027E	aspartate ammonia-lyase	2454347	2455774	OR1
-	329	16079415	ansA	BSU23580	-	COG0252EJ	L-asparaginase	2455819	2456808	OR1
+	116	16079416	ansR	BSU23590	-	COG1396K	XRE family transcriptional regulator	2456990	2457340	OF640
-	387	255767513	yqxK	BSU23600	-	COG1379S	hypothetical protein	2457349	2458512	OR1
-	185	16079418	nudF	BSU23610	-	COG0494LR	ADP-ribose pyrophosphatase	2458509	2459066	OR1
+	306	16079419	yqkF	BSU23620	-	COG0667C	NADPH-dependent aldo-keto reductase	2459326	2460246	OF641
-	74	16079420	yqkE	BSU23630	-	-	hypothetical protein	2460278	2460502	OR1
+	305	16079421	yqkD	BSU23640	-	COG1073R	hydrolase	2460664	2461581	OF642
-	79	16079422	yqkC	BSU23650	-	-	hypothetical protein	2461621	2461860	OR1
-	107	16079423	yqkB	BSU23660	-	COG4918S	hypothetical protein	2461873	2462196	OR1
-	343	16079424	yqkA	BSU23670	-	COG2320S	hypothetical protein	2462193	2463224	OR1
-	114	16079425	yqjZ	BSU23680	-	COG2329R	oxygenase	2463217	2463561	OR1
-	156	16079426	yqjY	BSU23690	-	COG0456R	acetyltransferase	2463571	2464041	OR1
-	112	16079427	yqjX	BSU23700	-	-	hypothetical protein	2464227	2464565	OR1
-	412	16079428	yqjW	BSU23710	-	COG0389L	DNA polymerase IV	2464562	2465800	OR1
+	68	16079429	yqzH	BSU23720	-	-	hypothetical protein	2465966	2466172	OF643
+	410	255767514	yqjV	BSU23730	-	COG2211G	efflux transporter	2466721	2467953	OF644
+	63	16079431	yqjU	BSU23740	-	-	hypothetical protein	2467971	2468162	OF644
-	128	16079432	yqjT	BSU23750	-	COG0346E	lyase	2468159	2468545	OR1
-	319	50812263	coaA	BSU23760	-	COG1072H	pantothenate kinase	2468549	2469508	OR1
-	448	255767515	dsdA	BSU23770	-	COG3048E	D-serine dehydratase	2469580	2470926	OR1
-	259	16079435	yqjQ	BSU23780	-	COG0300R	metabolite dehydrogenase, NAD-binding	2471002	2471781	OR1
-	319	16079436	yqjP	BSU23790	-	COG0491R	metal-dependent hydrolase	2471787	2472746	OR1
+	278	16079437	proI	BSU23800	-	COG0345E	pyrroline-5-carboxylate reductase	2473151	2473987	OF644
-	547	255767516	yqjN	BSU23810	-	COG4187E	N-deacylase	2474028	2475671	OR1
+	338	16079439	yqjM	BSU23820	-	COG1902C	NADPH dehydrogenase NamA	2475843	2476859	OF645
+	253	16079440	yqjL	BSU23830	-	COG2267I	hydrolase	2476969	2477730	OF646
-	307	16079441	yqjK	BSU23840	-	COG1234R	ribonuclease Z	2478006	2478929	OR1
+	489	255767517	zwf	BSU23850	-	COG0364G	glucose-6-phosphate 1-dehydrogenase	2479156	2480625	OF647
-	469	50812264	yqjI	BSU23860	-	COG0362G	6-phosphogluconate dehydrogenase	2480750	2482159	OR1
-	414	255767518	yqjH	BSU23870	-	COG0389L	DNA polymerase IV	2482269	2483513	OR1
+	95	50812265	yqzJ	BSU23880	-	-	hypothetical protein	2483586	2483873	OF648
+	275	16079445	yqjG	BSU23890	-	COG0706U	OxaA-like protein precursor	2483904	2484731	OF648
+	242	255767519	yqjF	BSU23900	-	COG3361S	hypothetical protein	2484911	2485639	OF648
-	371	255767520	yqjE	BSU23910	-	COG2195E	deacylase	2485680	2486795	OR1
-	507	255767521	yqjD	BSU23920	-	COG4799I	acyl-CoA carboxylase	2486813	2488336	OR1
-	140	255767522	yqjC	BSU23930	-	COG0346E	lyase	2488329	2488751	OR1
-	176	16079450	yqjB	BSU23940	-	COG1376S	hypothetical protein	2488953	2489483	OR1
-	322	255767523	yqjA	BSU23950	-	COG4129S	hypothetical protein	2489535	2490503	OR1
-	240	16079452	artR	BSU23960	-	COG1126E	High affinity arginine ABC transporter ATP-binding protein	2490574	2491296	OR1
-	219	16079453	artQ	BSU23970	-	COG0765E	High affinity arginine ABC transporter permease	2491289	2491948	OR1
-	255	16079454	artP	BSU23980	-	COG0834ET	High affinity arginine ABC transporter binding lipoprotein	2492029	2492796	OR1
-	145	16079455	yqiW	BSU23990	-	-	hypothetical protein	2493064	2493501	OR1
+	297	255767524	bmrU	BSU24000	-	COG1597IR	diacylglycerol kinase	2493662	2494555	OF649
+	389	255767525	bmr	BSU24010	-	COG2814G	multidrug-efflux transporter	2494656	2495825	OF650
+	278	50812267	bmrR	BSU24020	-	COG4978KT	MerR family transcriptional regulator	2495898	2496734	OF651
-	424	16079459	bkdB	BSU24030	-	COG0508C	branched-chain alpha-keto acid dehydrogenase E2 subunit	2496796	2498070	OR1
-	327	16079460	bkdAB	BSU24040	-	COG0022C	branched-chain alpha-keto acid dehydrogenase E1 subunit	2498093	2499076	OR1
-	330	16079461	bkdAA	BSU24050	-	COG1071C	branched-chain alpha-keto acid dehydrogenase E1 subunit	2499090	2500082	OR1
-	474	255767526	lpdV	BSU24060	-	COG1249C	dihydrolipoamide dehydrogenase	2500104	2501528	OR1
-	363	255767527	buk	BSU24070	-	COG3426C	butyrate kinase	2501549	2502640	OR1
